Art;Cat;Foto ALKILA;
Bajo Plato presentación Braid 32 cm;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2877-1-scaled.jpg;
Bajo plato presentación classic gold 33 cm.;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2819-scaled.jpg;
Bajo plato presentación Cristal filo oro 32 cm;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/plato-grande-scaled.jpg;
Bajo Plato presentación Eternity 32 cm.;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2803-1-scaled.jpg;
Bajo plato presentación Infinity negro 32 x 2.5 cm;VAJILLA;https://alkila.me/wp-content/uploads/2025/04/IMG_2831.jpg;
Bajo plato presentación Lustre Anna 32 cm;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2855-scaled.jpg;
Bajo plato presentación Malia melamina azul turquesa 33 cm;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2884-scaled.jpg;
Bajo plato presentación Ocean Blue 33 cm;VAJILLA;https://alkila.me/wp-content/uploads/2025/04/IMG_2897-scaled.jpg;
Bajo plato presentación Ratán 34 cm;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2871-scaled.jpg;
Bajo plato presentación Sasha 32.5 cm;VAJILLA;https://alkila.me/wp-content/uploads/2025/04/IMG_2862-scaled.jpg;
Bajo plato enea blanco vintage;VAJILLA;https://alkila.me/wp-content/uploads/2024/10/IMG_2914-scaled.jpg;
Plato de presentacion Baralee 31 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_2960-scaled.jpg;
Plato llano Baralee 27 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_2943.jpg;
Plato hondo baralee 23 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_2929-scaled.jpg;
Plato de postre Baralee 21 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_2960-1-scaled.jpg;
Plato de pan Baralee 16 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2024/10/IMG_2919-scaled.jpg;
Taza café Baralee apilable 20 cl;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_6476-scaled.jpg;
Plato cafe Te baralee 16 cm;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_6472-scaled.jpg;
Taza apilable moka Baralee 10 cl;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_2976-2-scaled.jpg;
Plato moka Baralee 11 cm.;VAJILLA LEELA-BARALEE;https://alkila.me/wp-content/uploads/2025/04/IMG_6468-scaled.jpg;
Plato llano Baralee Coupe 27 cm;VAJILLA LEELA-BARALEE/COUPE;https://alkila.me/wp-content/uploads/2025/04/IMG_3004-scaled.jpg;
